feature,mean_abs_shap
delinquent_months,0.2693556574486768
pay_0,0.06496324665761308
pay_amt1,0.06405361948646007
bill_amt1,0.05719447506512679
limit_bal,0.05240628157614749
max_delinquency,0.04807647777884157
utilization_max,0.04224160273165172
utilization,0.02837914890060447
zero_payment_months,0.02543151495347574
utilization_avg,0.01923615479067837
payment_ratio_avg,0.015279296959196241
payment_to_limit,0.005581615020426896
payment_ratio,0.005324904641553795
balance_growth,0.005083428662096992
revolving_months,0.0049287248311714014
utilization_trend,0.003979209731467011
education,0.0035748167444788906
age,0.003354745146596007
sex,0.0009116453584942297
consecutive_late,0.0
over_limit,0.0
marriage,0.0
