sex,education,marriage,limit_bal,age,pay_0,bill_amt1,pay_amt1,utilization,utilization_avg,utilization_max,utilization_trend,payment_ratio,payment_ratio_avg,payment_to_limit,delinquent_months,max_delinquency,consecutive_late,revolving_months,over_limit,balance_growth,zero_payment_months,default,limit_bal_raw,bill_amt1_raw
Female,University,Married,20000.0,24.0,2,3913.0,0.0,0.19565,0.0642,0.19565,0.19565,0.0,0.03701912744465936,0.0,2,2,2,0,0,10.0,5,1,20000.0,3913.0
Female,University,Single,120000.0,26.0,-1,2682.0,0.0,0.02235,0.023718055555555558,0.028791666666666667,-0.004825000000000003,0.0,0.3119164158909225,0.0,2,2,0,3,0,0.8224471021159153,2,1,120000.0,2682.0
Female,University,Single,90000.0,34.0,0,29239.0,1518.0,0.32487777777777777,0.1882462962962963,0.32487777777777777,0.15211111111111109,0.10821986169530191,0.11514113412166051,0.016866666666666665,0,0,0,6,0,1.8804424721847064,0,0,90000.0,29239.0
Female,University,Married,50000.0,37.0,0,46990.0,2000.0,0.9398,0.7711133333333332,0.98582,0.34885999999999995,0.041465386768395084,0.03639590847396764,0.04,0,0,0,6,0,1.590347581818797,0,0,50000.0,46990.0
Male,University,Married,50000.0,57.0,-1,8617.0,2000.0,0.17234,0.36446333333333336,0.7167,-0.21028000000000002,0.3527336860670194,1.0020723859592044,0.04,0,0,0,4,0,0.4504207830223198,0,0,50000.0,8617.0
Male,Graduate school,Single,50000.0,37.0,0,64400.0,2500.0,1.288,0.7937133333333334,1.288,0.8875200000000001,0.043806620056422926,0.03741892364284068,0.05,0,0,0,6,1,3.216140631242509,0,0,50000.0,64400.0
Male,Graduate school,Single,500000.0,29.0,0,367965.0,55000.0,0.73593,0.9081983333333333,1.085306,-0.21195799999999998,0.13348769364817012,0.07112713387967161,0.11,0,0,0,6,0,0.7763891936600105,0,0,500000.0,367965.0
Female,University,Single,100000.0,23.0,0,11876.0,380.0,0.11876,0.022476666666666662,0.11876,0.11309000000000001,1.0,1.9936853747422172,0.0038,0,0,0,3,0,10.0,1,0,100000.0,11876.0
Female,High school,Married,140000.0,28.0,0,11285.0,3329.0,0.08060714285714286,0.07763333333333333,0.10068571428571428,0.05404285714285715,0.23616628830874006,0.12770852845157613,0.02377857142857143,1,2,0,5,0,3.0344178542618985,1,0,140000.0,11285.0
Male,High school,Single,20000.0,35.0,-2,0.0,0.0,0.0,0.224325,0.6956,-0.6956,0.0,0.8477102073242614,0.0,0,-1,0,0,0,0.0,4,0,20000.0,0.0
Female,High school,Single,200000.0,34.0,0,11073.0,2306.0,0.055365,0.0287225,0.055365,0.03670999999999999,0.2356186778379483,0.40007341262466495,0.01153,1,2,0,4,0,2.9678370410077726,0,0,200000.0,11073.0
Female,Graduate school,Single,260000.0,51.0,-1,12261.0,21818.0,0.04715769230769231,0.056646794871794866,0.08571923076923077,-0.005411538461538461,1.0068297185048454,0.9975526186268079,0.08391538461538461,1,2,0,0,0,0.8970588235294118,1,0,260000.0,12261.0
Female,University,Single,630000.0,41.0,-1,12137.0,1000.0,0.019265079365079363,0.010848412698412697,0.019265079365079363,0.014709523809523808,0.15384615384615385,0.5873218575113607,0.0015873015873015873,0,0,0,1,0,4.228919860627178,1,0,630000.0,12137.0
Male,University,Single,70000.0,30.0,1,65802.0,3200.0,0.9400285714285714,0.8063928571428572,0.9624142857142857,0.41297142857142854,0.04749959180038296,0.030120522267388067,0.045714285714285714,4,2,3,2,0,1.7835420393559929,2,1,70000.0,65802.0
Male,Graduate school,Single,250000.0,29.0,0,70887.0,3000.0,0.283548,0.24906066666666668,0.283548,0.06150000000000003,0.044736057262153295,0.048549988915615405,0.012,0,0,0,6,0,1.2769671422395157,0,0,250000.0,70887.0
Female,High school,Other,50000.0,23.0,1,50614.0,0.0,1.01228,0.6547200000000001,1.01228,0.4080600000000001,0.0,0.03544696962875892,0.0,2,2,2,4,1,1.6753500380656052,1,0,50000.0,50614.0
Male,Graduate school,Single,20000.0,24.0,0,15376.0,3200.0,0.7688,0.884675,0.9552,-0.1864,0.1776790671848973,0.06438966180506246,0.16,4,2,0,2,0,0.804857621440536,3,1,20000.0,15376.0
Male,Graduate school,Married,320000.0,49.0,0,253286.0,10358.0,0.79151875,0.5031322916666667,0.79151875,0.18027187500000008,0.04201414803517539,1.0021006984463017,0.03236875,0,0,0,3,0,1.2949248206790422,0,0,320000.0,253286.0
Female,Graduate school,Married,360000.0,49.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0.0,6,0,360000.0,0.0
Female,Graduate school,Single,180000.0,29.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0.0,6,0,180000.0,0.0
Female,High school,Single,130000.0,39.0,0,38358.0,3000.0,0.2950615384615385,0.15882435897435898,0.2950615384615385,0.2879076923076923,0.1083501878069922,0.8917281414957391,0.023076923076923078,0,0,0,5,0,10.0,0,0,130000.0,38358.0
Female,University,Married,120000.0,39.0,-1,316.0,316.0,0.0026333333333333334,0.0026333333333333334,0.005266666666666667,0.0,1.0,1.25,0.0026333333333333334,0,-1,0,0,0,1.0,2,1,120000.0,316.0
Female,University,Single,70000.0,26.0,2,41087.0,2007.0,0.5869571428571428,0.6320833333333334,0.6700714285714285,-0.0703571428571429,0.0472847214041701,0.04243729702052309,0.02867142857142857,4,2,1,2,0,0.8929627053812049,2,1,70000.0,41087.0
Female,Graduate school,Married,450000.0,40.0,-2,5512.0,19428.0,0.012248888888888889,0.009987037037037039,0.04315555555555556,0.012248888888888889,1.0004119464469619,1.496783264972897,0.043173333333333334,0,-2,0,0,0,10.0,2,1,450000.0,5512.0
Male,Graduate school,Single,90000.0,23.0,0,4744.0,5757.0,0.05271111111111111,0.059007407407407404,0.09213333333333333,-0.03942222222222222,0.8142857142857143,1.1664291092007983,0.06396666666666667,0,0,0,5,0,0.5721177038109021,1,0,90000.0,4744.0
Male,High school,Single,50000.0,23.0,0,47620.0,1973.0,0.9524,0.7143166666666666,0.9524,0.35148,0.047189667543649845,0.03692460025956102,0.03946,0,0,0,6,0,1.5849031485056246,0,0,50000.0,47620.0
Male,Graduate school,Single,60000.0,27.0,1,-109.0,0.0,-0.0018166666666666667,-0.0010944444444444445,0.004316666666666667,0.0013333333333333333,0.0,2.058823529411765,0.0,1,1,1,0,0,0.0,3,1,60000.0,-109.0
Female,High school,Single,50000.0,30.0,0,22541.0,1300.0,0.45082,0.37422666666666665,0.45082,0.058479999999999976,0.0805552113025158,0.06413434849731042,0.026,0,0,0,6,0,1.1490543915991231,0,0,50000.0,22541.0
Female,High school,Married,50000.0,47.0,-1,650.0,3415.0,0.013,0.13402666666666668,0.6086,0.007859999999999999,1.0,1.934760537205289,0.0683,0,-1,0,0,0,2.529182879377432,1,0,50000.0,650.0
Male,Graduate school,Single,50000.0,26.0,0,15329.0,1500.0,0.30658,0.32360666666666665,0.3675,0.07858000000000001,0.09049773755656108,0.06473771890601109,0.03,0,0,0,6,0,1.3446491228070176,1,0,50000.0,15329.0
Female,Graduate school,Single,230000.0,27.0,-1,16646.0,17270.0,0.07237391304347826,0.08242463768115943,0.16053478260869566,-0.0881608695652174,1.0002896032435564,1.0837119166993363,0.07508695652173913,0,-1,0,0,0,0.45083010589605393,1,0,230000.0,16646.0
Male,University,Single,50000.0,33.0,2,30518.0,1718.0,0.61036,0.50623,0.61036,0.13676,0.05800526706732392,0.0449132752409786,0.03436,1,2,1,5,0,1.288766891891892,0,1,50000.0,30518.0
Male,Graduate school,Single,100000.0,32.0,0,93036.0,3023.0,0.93036,0.825395,0.93036,0.17447000000000001,0.03595770241819415,0.0379096047821112,0.03023,0,0,0,6,0,1.2308140073291087,0,0,100000.0,93036.0
Female,University,Married,500000.0,54.0,-2,10929.0,4152.0,0.021858,0.04191466666666666,0.142878,0.003896,1.0,2.6207732429398587,0.008304,0,-2,0,0,0,1.2169023494042979,0,0,500000.0,10929.0
Male,Graduate school,Married,500000.0,58.0,-2,13709.0,5006.0,0.027418,0.019439333333333333,0.06226,0.016832,1.0,1.768735189284074,0.010012,0,-2,0,0,0,2.5900245607406007,1,0,500000.0,13709.0
Male,Graduate school,Single,160000.0,30.0,-1,30265.0,131.0,0.18915625,0.026366666666666663,0.18915625,0.20093125,1.0,0.8205074590818552,0.00081875,0,-1,0,0,0,10.0,1,0,160000.0,30265.0
Male,University,Married,280000.0,40.0,0,186503.0,8026.0,0.6660821428571428,0.6368910714285715,0.6660821428571428,0.03246428571428572,0.04426233124503662,0.03912245090042404,0.028664285714285715,0,0,0,6,0,1.0512363806485432,0,0,280000.0,186503.0
Female,University,Single,60000.0,22.0,0,15054.0,1500.0,0.2509,0.08966388888888889,0.311,-0.06009999999999999,0.1529675708749745,0.35908382754070184,0.025,0,0,0,5,0,0.8067524115755627,1,0,60000.0,15054.0
Male,Graduate school,Single,50000.0,25.0,1,0.0,780.0,0.0,0.0026,0.0156,0.0,1.0,0.8333333333333334,0.0156,1,1,1,0,0,0.0,5,1,50000.0,0.0
Male,Graduate school,Single,280000.0,31.0,-1,498.0,9075.0,0.0017785714285714286,0.03073988095238095,0.0642,-0.03206785714285714,1.0,1.4272907610749674,0.032410714285714286,1,2,0,1,0,0.05254827477049699,1,0,280000.0,498.0
Male,Graduate school,Single,360000.0,33.0,0,218668.0,10000.0,0.6074111111111111,0.7642365740740741,1.7463861111111112,0.1095666666666667,0.045188345022051914,0.09532133003019656,0.027777777777777776,0,0,0,6,0,1.2200821318573405,0,0,360000.0,218668.0
Female,Graduate school,Single,70000.0,25.0,0,67521.0,3000.0,0.9645857142857143,0.9353714285714286,0.9645857142857143,0.022157142857142875,0.04477678771324945,0.04920169053287992,0.04285714285714286,0,0,0,6,0,1.0235106866757617,0,0,70000.0,67521.0
Male,University,Single,10000.0,22.0,0,1877.0,1500.0,0.1877,0.3793499999999999,0.6003,-0.25739999999999996,0.47110552763819097,0.39228689314597914,0.15,0,0,0,6,0,0.42170298809256346,0,0,10000.0,1877.0
